         17334 function calls (16969 primitive calls) in 25.060 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/linalg/linalg.py:1897(pinv)
        6    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:3182(atom_coords)
        2    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/formula.py:377(parse)
        1    0.001    0.001    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/dft/gen_grid.py:88(weights)
       73    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
        5    0.001    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/linalg/linalg.py:306(solve)
        2    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/basis/parse_cp2k.py:46(_parse)
        8    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/re.py:188(match)
        2    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/basis/parse_cp2k.py:82(search_seg)
      148    0.001    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/ctypes/__init__.py:506(cast)
        1    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/cell.py:278(niggli_reduce)
        1    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/dft/kpoints.py:311(interpolate)
       25    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/shape_base.py:223(vstack)
        5    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(argsort)
        1    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/build/tools.py:427(niggli_reduce_cell)
        2    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:2638(format_atom)
       48    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/core/_methods.py:47(_sum)
        2    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/pbc/gto/pseudo/parse_cp2k.py:41(_parse)
        2    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/pyscf/gto/mole.py:324(format_atom)
       23    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/numpy/lib/twodim_base.py:376(tri)
        3    0.000    0.000    0.001    0.000 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/cell.py:264(reciprocal)
        1    0.000    0.000    0.001    0.001 /Users/patrykkozlowski/anaconda3/envs/pyscf_env/lib/python3.8/site-packages/ase/dft/kpoints.py:370(get_linear_kpoint_axis)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:650(_load_unlocked)
